customer_id,newsletter_opt_in,preferred_channel,language_code,load_date,record_source
1,N,SMS,es,2024-01-01,E2E-customer-prefs
2,Y,PHONE,es,2024-01-01,E2E-customer-prefs
3,Y,SMS,de,2024-01-01,E2E-customer-prefs
4,N,PHONE,de,2024-01-01,E2E-customer-prefs
5,Y,EMAIL,es,2024-01-01,E2E-customer-prefs
6,Y,PHONE,es,2024-01-01,E2E-customer-prefs
7,N,EMAIL,en,2024-01-01,E2E-customer-prefs
8,N,SMS,fr,2024-01-01,E2E-customer-prefs
9,N,SMS,en,2024-01-01,E2E-customer-prefs
10,Y,SMS,fr,2024-01-01,E2E-customer-prefs
11,N,SMS,es,2024-01-01,E2E-customer-prefs
12,N,PHONE,en,2024-01-01,E2E-customer-prefs
13,Y,SMS,de,2024-01-01,E2E-customer-prefs
14,N,EMAIL,es,2024-01-01,E2E-customer-prefs
15,N,PHONE,de,2024-01-01,E2E-customer-prefs
16,Y,EMAIL,en,2024-01-01,E2E-customer-prefs
17,N,SMS,fr,2024-01-01,E2E-customer-prefs
18,Y,EMAIL,fr,2024-01-01,E2E-customer-prefs
19,N,EMAIL,de,2024-01-01,E2E-customer-prefs
20,Y,EMAIL,de,2024-01-01,E2E-customer-prefs
21,Y,SMS,es,2024-01-01,E2E-customer-prefs
22,Y,EMAIL,de,2024-01-01,E2E-customer-prefs
23,N,PHONE,es,2024-01-01,E2E-customer-prefs
24,Y,SMS,fr,2024-01-01,E2E-customer-prefs
25,Y,SMS,en,2024-01-01,E2E-customer-prefs
26,N,EMAIL,en,2024-01-01,E2E-customer-prefs
27,N,PHONE,fr,2024-01-01,E2E-customer-prefs
28,N,EMAIL,en,2024-01-01,E2E-customer-prefs
29,Y,PHONE,en,2024-01-01,E2E-customer-prefs
30,N,SMS,es,2024-01-01,E2E-customer-prefs
31,Y,SMS,fr,2024-01-01,E2E-customer-prefs
32,N,PHONE,fr,2024-01-01,E2E-customer-prefs
33,Y,EMAIL,fr,2024-01-01,E2E-customer-prefs
34,Y,EMAIL,en,2024-01-01,E2E-customer-prefs
35,Y,PHONE,de,2024-01-01,E2E-customer-prefs
36,N,PHONE,fr,2024-01-01,E2E-customer-prefs
37,Y,SMS,en,2024-01-01,E2E-customer-prefs
38,N,EMAIL,es,2024-01-01,E2E-customer-prefs
39,Y,SMS,fr,2024-01-01,E2E-customer-prefs
40,N,SMS,fr,2024-01-01,E2E-customer-prefs
41,N,EMAIL,fr,2024-01-01,E2E-customer-prefs
42,Y,EMAIL,es,2024-01-01,E2E-customer-prefs
