customer_id,load_date,record_source
10001,2024-04-01,E2E-customer-hub
10002,2024-04-01,E2E-customer-hub
10003,2024-04-01,E2E-customer-hub
10004,2024-04-01,E2E-customer-hub
10005,2024-04-01,E2E-customer-hub
10006,2024-04-01,E2E-customer-hub
10007,2024-04-01,E2E-customer-hub
10008,2024-04-01,E2E-customer-hub
10009,2024-04-01,E2E-customer-hub
10010,2024-04-01,E2E-customer-hub
10011,2024-04-01,E2E-customer-hub
10012,2024-04-01,E2E-customer-hub
10013,2024-04-01,E2E-customer-hub
10014,2024-04-01,E2E-customer-hub
10015,2024-04-01,E2E-customer-hub
10016,2024-04-01,E2E-customer-hub
10017,2024-04-01,E2E-customer-hub
10018,2024-04-01,E2E-customer-hub
10019,2024-04-01,E2E-customer-hub
10020,2024-04-01,E2E-customer-hub
10021,2024-04-01,E2E-customer-hub
10022,2024-04-01,E2E-customer-hub
10023,2024-04-01,E2E-customer-hub
10024,2024-04-01,E2E-customer-hub
10025,2024-04-01,E2E-customer-hub
10026,2024-04-01,E2E-customer-hub
10027,2024-04-01,E2E-customer-hub
10028,2024-04-01,E2E-customer-hub
10029,2024-04-01,E2E-customer-hub
10030,2024-04-01,E2E-customer-hub
10031,2024-04-01,E2E-customer-hub
10032,2024-04-01,E2E-customer-hub
10033,2024-04-01,E2E-customer-hub
10034,2024-04-01,E2E-customer-hub
10035,2024-04-01,E2E-customer-hub
10036,2024-04-01,E2E-customer-hub
10037,2024-04-01,E2E-customer-hub
10038,2024-04-01,E2E-customer-hub
10039,2024-04-01,E2E-customer-hub
10040,2024-04-01,E2E-customer-hub
10041,2024-04-01,E2E-customer-hub
10042,2024-04-01,E2E-customer-hub
10043,2024-04-01,E2E-customer-hub
10044,2024-04-01,E2E-customer-hub
10045,2024-04-01,E2E-customer-hub
10046,2024-04-01,E2E-customer-hub
10047,2024-04-01,E2E-customer-hub
10048,2024-04-01,E2E-customer-hub
10049,2024-04-01,E2E-customer-hub
10050,2024-04-01,E2E-customer-hub
10051,2024-04-01,E2E-customer-hub
10052,2024-04-01,E2E-customer-hub
10053,2024-04-01,E2E-customer-hub
10054,2024-04-01,E2E-customer-hub
10055,2024-04-01,E2E-customer-hub
10056,2024-04-01,E2E-customer-hub
10057,2024-04-01,E2E-customer-hub
10058,2024-04-01,E2E-customer-hub
10059,2024-04-01,E2E-customer-hub
10060,2024-04-01,E2E-customer-hub
10061,2024-04-01,E2E-customer-hub
10062,2024-04-01,E2E-customer-hub
10063,2024-04-01,E2E-customer-hub
10064,2024-04-01,E2E-customer-hub
10065,2024-04-01,E2E-customer-hub
10066,2024-04-01,E2E-customer-hub
10067,2024-04-01,E2E-customer-hub
10068,2024-04-01,E2E-customer-hub
10069,2024-04-01,E2E-customer-hub
10070,2024-04-01,E2E-customer-hub
10071,2024-04-01,E2E-customer-hub
10072,2024-04-01,E2E-customer-hub
10073,2024-04-01,E2E-customer-hub
10074,2024-04-01,E2E-customer-hub
10075,2024-04-01,E2E-customer-hub
10076,2024-04-01,E2E-customer-hub
10077,2024-04-01,E2E-customer-hub
10078,2024-04-01,E2E-customer-hub
10079,2024-04-01,E2E-customer-hub
10080,2024-04-01,E2E-customer-hub
10081,2024-04-01,E2E-customer-hub
10082,2024-04-01,E2E-customer-hub
10083,2024-04-01,E2E-customer-hub
10084,2024-04-01,E2E-customer-hub
10085,2024-04-01,E2E-customer-hub
10086,2024-04-01,E2E-customer-hub
10087,2024-04-01,E2E-customer-hub
10088,2024-04-01,E2E-customer-hub
10089,2024-04-01,E2E-customer-hub
10090,2024-04-01,E2E-customer-hub
10091,2024-04-01,E2E-customer-hub
10092,2024-04-01,E2E-customer-hub
10093,2024-04-01,E2E-customer-hub
10094,2024-04-01,E2E-customer-hub
10095,2024-04-01,E2E-customer-hub
10096,2024-04-01,E2E-customer-hub
10097,2024-04-01,E2E-customer-hub
10098,2024-04-01,E2E-customer-hub
10099,2024-04-01,E2E-customer-hub
10100,2024-04-01,E2E-customer-hub
