warehouse_id,product_id,stock_qty,reorder_point,load_date,record_source
95,P001007,4558,192,2024-04-01,E2E-warehouse-product
65,P001034,678,170,2024-04-01,E2E-warehouse-product
73,P001035,2702,149,2024-04-01,E2E-warehouse-product
63,P001006,4797,408,2024-04-01,E2E-warehouse-product
54,P001035,1309,117,2024-04-01,E2E-warehouse-product
91,P001039,1188,143,2024-04-01,E2E-warehouse-product
84,P001029,1796,291,2024-04-01,E2E-warehouse-product
72,P001002,3145,323,2024-04-01,E2E-warehouse-product
100,P001027,4740,67,2024-04-01,E2E-warehouse-product
57,P001021,4374,422,2024-04-01,E2E-warehouse-product
96,P001038,819,264,2024-04-01,E2E-warehouse-product
81,P001040,1074,421,2024-04-01,E2E-warehouse-product
72,P001036,373,241,2024-04-01,E2E-warehouse-product
93,P001023,2828,237,2024-04-01,E2E-warehouse-product
85,P001003,1838,496,2024-04-01,E2E-warehouse-product
57,P001023,2307,311,2024-04-01,E2E-warehouse-product
85,P001035,3555,497,2024-04-01,E2E-warehouse-product
62,P001041,4318,78,2024-04-01,E2E-warehouse-product
81,P001047,516,149,2024-04-01,E2E-warehouse-product
67,P001024,2104,151,2024-04-01,E2E-warehouse-product
58,P001027,4885,361,2024-04-01,E2E-warehouse-product
100,P001045,4729,332,2024-04-01,E2E-warehouse-product
74,P001047,4394,435,2024-04-01,E2E-warehouse-product
74,P001015,3248,485,2024-04-01,E2E-warehouse-product
62,P001016,4636,402,2024-04-01,E2E-warehouse-product
93,P001007,811,481,2024-04-01,E2E-warehouse-product
55,P001047,314,402,2024-04-01,E2E-warehouse-product
74,P001008,3885,396,2024-04-01,E2E-warehouse-product
60,P001039,3707,180,2024-04-01,E2E-warehouse-product
98,P001049,4761,105,2024-04-01,E2E-warehouse-product
64,P001022,4124,239,2024-04-01,E2E-warehouse-product
67,P001004,4553,366,2024-04-01,E2E-warehouse-product
99,P001042,1867,170,2024-04-01,E2E-warehouse-product
67,P001040,1302,480,2024-04-01,E2E-warehouse-product
98,P001036,548,205,2024-04-01,E2E-warehouse-product
93,P001028,4463,118,2024-04-01,E2E-warehouse-product
83,P001032,4274,291,2024-04-01,E2E-warehouse-product
82,P001035,1371,495,2024-04-01,E2E-warehouse-product
93,P001029,2294,159,2024-04-01,E2E-warehouse-product
99,P001039,804,65,2024-04-01,E2E-warehouse-product
76,P001033,3325,95,2024-04-01,E2E-warehouse-product
60,P001006,361,237,2024-04-01,E2E-warehouse-product
59,P001045,2624,58,2024-04-01,E2E-warehouse-product
76,P001004,4429,216,2024-04-01,E2E-warehouse-product
97,P001042,406,406,2024-04-01,E2E-warehouse-product
99,P001037,3835,394,2024-04-01,E2E-warehouse-product
76,P001003,4808,277,2024-04-01,E2E-warehouse-product
78,P001015,3400,217,2024-04-01,E2E-warehouse-product
94,P001039,4860,319,2024-04-01,E2E-warehouse-product
95,P001023,1402,454,2024-04-01,E2E-warehouse-product
61,P001037,1739,151,2024-04-01,E2E-warehouse-product
77,P001006,2779,475,2024-04-01,E2E-warehouse-product
92,P001003,3382,283,2024-04-01,E2E-warehouse-product
72,P001047,1107,399,2024-04-01,E2E-warehouse-product
83,P001041,562,187,2024-04-01,E2E-warehouse-product
81,P001009,3009,354,2024-04-01,E2E-warehouse-product
65,P001046,3044,241,2024-04-01,E2E-warehouse-product
84,P001032,762,116,2024-04-01,E2E-warehouse-product
75,P001045,3805,392,2024-04-01,E2E-warehouse-product
73,P001035,3255,89,2024-04-01,E2E-warehouse-product
95,P001028,4947,240,2024-04-01,E2E-warehouse-product
98,P001050,4060,247,2024-04-01,E2E-warehouse-product
60,P001026,2222,85,2024-04-01,E2E-warehouse-product
