order_id,product_id,line_number,quantity,unit_price,discount_pct,load_date,record_source
O100001,P000442,1,2,142.64,0.01,2024-04-01,E2E-order-line
O100002,P000548,1,4,237.5,0.18,2024-04-01,E2E-order-line
O100002,P001025,2,3,122.93,0.12,2024-04-01,E2E-order-line
O100002,P000275,3,3,126.08,0.25,2024-04-01,E2E-order-line
O100002,P001036,4,2,446.68,0.07,2024-04-01,E2E-order-line
O100003,P000072,1,3,20.43,0.24,2024-04-01,E2E-order-line
O100003,P000277,2,4,229.15,0.07,2024-04-01,E2E-order-line
O100004,P001001,1,1,287.21,0.16,2024-04-01,E2E-order-line
O100004,P000360,2,1,457.97,0.11,2024-04-01,E2E-order-line
O100005,P000068,1,5,203.22,0.1,2024-04-01,E2E-order-line
O100005,P000532,2,5,355.33,0.12,2024-04-01,E2E-order-line
O100006,P000672,1,1,26.72,0.16,2024-04-01,E2E-order-line
O100006,P000824,2,3,304.16,0.2,2024-04-01,E2E-order-line
O100007,P000366,1,2,329.67,0.15,2024-04-01,E2E-order-line
O100007,P000626,2,5,59.1,0.03,2024-04-01,E2E-order-line
O100008,P000360,1,1,375.21,0.1,2024-04-01,E2E-order-line
O100009,P000962,1,5,102.46,0.1,2024-04-01,E2E-order-line
O100010,P000066,1,1,436.48,0.08,2024-04-01,E2E-order-line
O100010,P000950,2,2,447.43,0.01,2024-04-01,E2E-order-line
O100011,P000299,1,5,347.7,0.13,2024-04-01,E2E-order-line
O100012,P000398,1,3,313.92,0.08,2024-04-01,E2E-order-line
O100013,P000430,1,2,398.83,0.14,2024-04-01,E2E-order-line
O100013,P000453,2,3,95.43,0.05,2024-04-01,E2E-order-line
O100013,P000646,3,1,223.87,0.11,2024-04-01,E2E-order-line
O100014,P001033,1,1,115.71,0.15,2024-04-01,E2E-order-line
O100014,P001000,2,4,113.37,0.06,2024-04-01,E2E-order-line
O100015,P000087,1,5,373.43,0.24,2024-04-01,E2E-order-line
O100015,P000809,2,2,23.77,0.19,2024-04-01,E2E-order-line
O100016,P000976,1,1,112.13,0.21,2024-04-01,E2E-order-line
O100017,P000009,1,4,266.86,0.19,2024-04-01,E2E-order-line
O100017,P000042,2,1,470.28,0.08,2024-04-01,E2E-order-line
O100018,P000018,1,3,34.45,0.02,2024-04-01,E2E-order-line
O100018,P000325,2,1,298.39,0.11,2024-04-01,E2E-order-line
O100019,P000031,1,1,15.03,0.25,2024-04-01,E2E-order-line
O100019,P000101,2,4,62.11,0.18,2024-04-01,E2E-order-line
O100019,P000441,3,1,295.06,0.1,2024-04-01,E2E-order-line
O100020,P000273,1,1,71.05,0.12,2024-04-01,E2E-order-line
O100020,P000927,2,4,218.36,0.14,2024-04-01,E2E-order-line
O100020,P000782,3,3,175.29,0.09,2024-04-01,E2E-order-line
O100020,P000400,4,4,22.74,0.04,2024-04-01,E2E-order-line
O100021,P000887,1,1,62.91,0.24,2024-04-01,E2E-order-line
