order_id,customer_id,order_date,shipping_date,delivery_date,order_status,total_amount,load_date,record_source
O100001,2797,2024-04-11,2024-04-13,2024-04-16,DELIVERED,1882.08,2024-04-01,E2E-order-header
O100002,2670,2024-04-01,2024-04-02,2024-04-04,NEW,450.15,2024-04-01,E2E-order-header
O100003,9128,2024-04-03,2024-04-04,2024-04-05,CANCELLED,119.66,2024-04-01,E2E-order-header
O100004,9053,2024-04-23,2024-04-26,2024-04-27,NEW,679.43,2024-04-01,E2E-order-header
O100005,7155,2024-04-27,2024-04-28,2024-05-02,CANCELLED,1958.91,2024-04-01,E2E-order-header
O100006,2612,2024-04-27,2024-04-30,2024-05-03,DELIVERED,883.85,2024-04-01,E2E-order-header
O100007,7754,2024-04-13,2024-04-16,2024-04-17,NEW,328.42,2024-04-01,E2E-order-header
O100008,1589,2024-04-18,2024-04-21,2024-04-22,NEW,2261.83,2024-04-01,E2E-order-header
O100009,5544,2024-04-08,2024-04-09,2024-04-12,DELIVERED,1174.19,2024-04-01,E2E-order-header
O100010,4078,2024-04-18,2024-04-20,2024-04-24,CANCELLED,760.08,2024-04-01,E2E-order-header
O100011,5651,2024-04-02,2024-04-05,2024-04-07,CANCELLED,504.74,2024-04-01,E2E-order-header
O100012,8990,2024-04-14,2024-04-16,2024-04-18,SHIPPED,274.74,2024-04-01,E2E-order-header
O100013,1740,2024-04-13,2024-04-16,2024-04-18,SHIPPED,96.27,2024-04-01,E2E-order-header
O100014,223,2024-04-25,2024-04-27,2024-05-01,DELIVERED,1422.61,2024-04-01,E2E-order-header
O100015,2313,2024-04-16,2024-04-19,2024-04-21,NEW,1632.33,2024-04-01,E2E-order-header
O100016,9376,2024-04-16,2024-04-19,2024-04-24,DELIVERED,1757.26,2024-04-01,E2E-order-header
O100017,7160,2024-04-07,2024-04-08,2024-04-09,DELIVERED,1897.45,2024-04-01,E2E-order-header
O100018,4980,2024-04-20,2024-04-22,2024-04-24,CANCELLED,1126.53,2024-04-01,E2E-order-header
O100019,8320,2024-04-04,2024-04-07,2024-04-08,CANCELLED,480.49,2024-04-01,E2E-order-header
O100020,8053,2024-04-25,2024-04-28,2024-05-03,NEW,1555.75,2024-04-01,E2E-order-header
