warehouse_id,warehouse_name,city,region,capacity,load_date,record_source
51,Warehouse 51,Chicago,North,227208,2024-04-01,E2E-warehouse
52,Warehouse 52,Seattle,East,93302,2024-04-01,E2E-warehouse
53,Warehouse 53,Austin,North,248500,2024-04-01,E2E-warehouse
54,Warehouse 54,Phoenix,South,219138,2024-04-01,E2E-warehouse
55,Warehouse 55,Austin,East,160658,2024-04-01,E2E-warehouse
56,Warehouse 56,New York,East,245901,2024-04-01,E2E-warehouse
57,Warehouse 57,New York,West,242671,2024-04-01,E2E-warehouse
58,Warehouse 58,Phoenix,North,185097,2024-04-01,E2E-warehouse
59,Warehouse 59,Austin,East,25536,2024-04-01,E2E-warehouse
60,Warehouse 60,Chicago,West,79576,2024-04-01,E2E-warehouse
61,Warehouse 61,Phoenix,East,212954,2024-04-01,E2E-warehouse
62,Warehouse 62,Phoenix,North,142910,2024-04-01,E2E-warehouse
63,Warehouse 63,New York,South,177016,2024-04-01,E2E-warehouse
64,Warehouse 64,Seattle,North,207624,2024-04-01,E2E-warehouse
65,Warehouse 65,Phoenix,East,187976,2024-04-01,E2E-warehouse
66,Warehouse 66,Seattle,East,119511,2024-04-01,E2E-warehouse
67,Warehouse 67,New York,West,132284,2024-04-01,E2E-warehouse
68,Warehouse 68,Seattle,West,115202,2024-04-01,E2E-warehouse
69,Warehouse 69,Seattle,North,103484,2024-04-01,E2E-warehouse
70,Warehouse 70,Austin,West,223654,2024-04-01,E2E-warehouse
71,Warehouse 71,Phoenix,North,129297,2024-04-01,E2E-warehouse
72,Warehouse 72,Chicago,East,88517,2024-04-01,E2E-warehouse
73,Warehouse 73,Austin,West,27065,2024-04-01,E2E-warehouse
74,Warehouse 74,Austin,South,199825,2024-04-01,E2E-warehouse
75,Warehouse 75,Phoenix,North,217266,2024-04-01,E2E-warehouse
76,Warehouse 76,Austin,South,105939,2024-04-01,E2E-warehouse
77,Warehouse 77,Austin,West,99916,2024-04-01,E2E-warehouse
78,Warehouse 78,Seattle,South,193483,2024-04-01,E2E-warehouse
79,Warehouse 79,Austin,North,68592,2024-04-01,E2E-warehouse
80,Warehouse 80,Chicago,West,10265,2024-04-01,E2E-warehouse
81,Warehouse 81,Austin,East,14903,2024-04-01,E2E-warehouse
82,Warehouse 82,Seattle,West,120541,2024-04-01,E2E-warehouse
83,Warehouse 83,New York,West,120387,2024-04-01,E2E-warehouse
84,Warehouse 84,Seattle,South,18305,2024-04-01,E2E-warehouse
85,Warehouse 85,Phoenix,North,73417,2024-04-01,E2E-warehouse
86,Warehouse 86,Phoenix,South,126823,2024-04-01,E2E-warehouse
87,Warehouse 87,Chicago,East,12643,2024-04-01,E2E-warehouse
88,Warehouse 88,Chicago,West,221225,2024-04-01,E2E-warehouse
89,Warehouse 89,Austin,South,154157,2024-04-01,E2E-warehouse
90,Warehouse 90,Seattle,East,212721,2024-04-01,E2E-warehouse
91,Warehouse 91,Austin,South,212247,2024-04-01,E2E-warehouse
92,Warehouse 92,Austin,East,88677,2024-04-01,E2E-warehouse
93,Warehouse 93,New York,North,167532,2024-04-01,E2E-warehouse
94,Warehouse 94,Chicago,North,183671,2024-04-01,E2E-warehouse
95,Warehouse 95,New York,South,221788,2024-04-01,E2E-warehouse
96,Warehouse 96,Phoenix,North,153100,2024-04-01,E2E-warehouse
97,Warehouse 97,Austin,West,24521,2024-04-01,E2E-warehouse
98,Warehouse 98,Phoenix,North,230172,2024-04-01,E2E-warehouse
99,Warehouse 99,Seattle,South,198734,2024-04-01,E2E-warehouse
100,Warehouse 100,Seattle,West,17508,2024-04-01,E2E-warehouse
