product_id,product_name,category,unit_price,load_date,record_source
P001001,Product 1001,Grocery,328.37,2024-02-01,E2E-product
P001002,Product 1002,Sports,115.63,2024-02-01,E2E-product
P001003,Product 1003,Electronics,11.06,2024-02-01,E2E-product
P001004,Product 1004,Electronics,315.4,2024-02-01,E2E-product
P001005,Product 1005,Apparel,384.2,2024-02-01,E2E-product
P001006,Product 1006,Home,168.76,2024-02-01,E2E-product
P001007,Product 1007,Grocery,292.16,2024-02-01,E2E-product
P001008,Product 1008,Apparel,94.27,2024-02-01,E2E-product
P001009,Product 1009,Electronics,284.6,2024-02-01,E2E-product
P001010,Product 1010,Sports,462.81,2024-02-01,E2E-product
P001011,Product 1011,Electronics,386.31,2024-02-01,E2E-product
P001012,Product 1012,Grocery,412.48,2024-02-01,E2E-product
P001013,Product 1013,Sports,34.31,2024-02-01,E2E-product
P001014,Product 1014,Grocery,147.33,2024-02-01,E2E-product
P001015,Product 1015,Sports,211.21,2024-02-01,E2E-product
P001016,Product 1016,Apparel,156.22,2024-02-01,E2E-product
P001017,Product 1017,Sports,474.99,2024-02-01,E2E-product
P001018,Product 1018,Electronics,294.13,2024-02-01,E2E-product
P001019,Product 1019,Electronics,381.6,2024-02-01,E2E-product
P001020,Product 1020,Electronics,315.83,2024-02-01,E2E-product
P001021,Product 1021,Sports,89.3,2024-02-01,E2E-product
P001022,Product 1022,Electronics,454.64,2024-02-01,E2E-product
P001023,Product 1023,Sports,74.39,2024-02-01,E2E-product
P001024,Product 1024,Sports,30.2,2024-02-01,E2E-product
P001025,Product 1025,Electronics,415.41,2024-02-01,E2E-product
P001026,Product 1026,Home,350.78,2024-02-01,E2E-product
P001027,Product 1027,Electronics,192.54,2024-02-01,E2E-product
P001028,Product 1028,Apparel,171.98,2024-02-01,E2E-product
P001029,Product 1029,Sports,462.0,2024-02-01,E2E-product
P001030,Product 1030,Grocery,44.49,2024-02-01,E2E-product
P001031,Product 1031,Electronics,56.48,2024-02-01,E2E-product
P001032,Product 1032,Grocery,350.59,2024-02-01,E2E-product
P001033,Product 1033,Home,468.91,2024-02-01,E2E-product
P001034,Product 1034,Grocery,207.51,2024-02-01,E2E-product
P001035,Product 1035,Apparel,185.03,2024-02-01,E2E-product
P001036,Product 1036,Grocery,334.73,2024-02-01,E2E-product
P001037,Product 1037,Electronics,133.71,2024-02-01,E2E-product
P001038,Product 1038,Electronics,53.52,2024-02-01,E2E-product
P001039,Product 1039,Sports,127.98,2024-02-01,E2E-product
P001040,Product 1040,Electronics,187.46,2024-02-01,E2E-product
P001041,Product 1041,Electronics,309.89,2024-02-01,E2E-product
P001042,Product 1042,Grocery,214.71,2024-02-01,E2E-product
P001043,Product 1043,Home,119.77,2024-02-01,E2E-product
P001044,Product 1044,Grocery,328.91,2024-02-01,E2E-product
P001045,Product 1045,Grocery,472.87,2024-02-01,E2E-product
P001046,Product 1046,Grocery,413.86,2024-02-01,E2E-product
P001047,Product 1047,Electronics,413.15,2024-02-01,E2E-product
P001048,Product 1048,Electronics,350.91,2024-02-01,E2E-product
P001049,Product 1049,Apparel,221.04,2024-02-01,E2E-product
P001050,Product 1050,Apparel,478.93,2024-02-01,E2E-product
